feature,target,spearman_corr,abs_spearman_corr
dist_squared,event,-0.8151346173758323,0.8151346173758323
dist_squared,y_72,-0.8151346173758323,0.8151346173758323
dist,y_72,-0.8151346173758323,0.8151346173758323
dist,event,-0.8151346173758323,0.8151346173758323
dist_to_initial_ratio,event,-0.8026369317605839,0.8026369317605839
dist_to_initial_ratio,y_72,-0.8026369317605839,0.8026369317605839
eta_kinetic,event,-0.7987134627542407,0.7987134627542407
eta_kinetic,y_72,-0.7987134627542407,0.7987134627542407
dist,y_48,-0.7894646795688446,0.7894646795688446
dist_squared,y_48,-0.7894646795688446,0.7894646795688446
density_metric,y_72,0.7842699539170922,0.7842699539170922
density_metric,event,0.7842699539170922,0.7842699539170922
eta_kinetic,y_48,-0.7817029715946723,0.7817029715946723
density_metric,y_48,0.7747259715298012,0.7747259715298012
dist_to_initial_ratio,y_48,-0.7728662572552747,0.7728662572552747
dist,y_24,-0.7639559489807789,0.7639559489807789
dist_squared,y_24,-0.7639559489807789,0.7639559489807789
eta_kinetic,y_24,-0.7595648659504814,0.7595648659504814
dist_to_initial_ratio,y_24,-0.7495720664114682,0.7495720664114682
density_metric,y_24,0.7495720664114682,0.7495720664114682
eta_kinetic,y_12,-0.6827879262325899,0.6827879262325899
dist_squared,y_12,-0.6457440340030047,0.6457440340030047
dist,y_12,-0.6457440340030047,0.6457440340030047
density_metric,y_12,0.6426731361062276,0.6426731361062276
dist_to_initial_ratio,y_12,-0.6295259970307283,0.6295259970307283
eta_kinetic,time_to_hit_hours,0.6101673558752928,0.6101673558752928
dist,time_to_hit_hours,0.5769119946070581,0.5769119946070581
dist_squared,time_to_hit_hours,0.5769119946070581,0.5769119946070581
dist_to_initial_ratio,time_to_hit_hours,0.5699578640755111,0.5699578640755111
kinetic_energy,y_12,0.5348297662654173,0.5348297662654173
persistence,y_12,0.5311551426909776,0.5311551426909776
density_metric,time_to_hit_hours,-0.5275117569235216,0.5275117569235216
v_stable,y_12,0.5211745381905556,0.5211745381905556
v_stable_squared,y_12,0.5211745381905556,0.5211745381905556
alignment_squared,y_12,0.49126308621704906,0.49126308621704906
persistence,time_to_hit_hours,-0.4748035792177052,0.4748035792177052
kinetic_energy,time_to_hit_hours,-0.4730256286213381,0.4730256286213381
v_stable,time_to_hit_hours,-0.4600060308040746,0.4600060308040746
v_stable_squared,time_to_hit_hours,-0.4600060308040746,0.4600060308040746
kinetic_energy,y_24,0.44226796453958617,0.44226796453958617
persistence,y_24,0.4404221955767918,0.4404221955767918
kinetic_energy,y_48,0.4394088627383437,0.4394088627383437
persistence,y_48,0.43463737452677814,0.43463737452677814
alignment_squared,time_to_hit_hours,-0.4332978607125956,0.4332978607125956
v_stable,y_24,0.42930407831858364,0.42930407831858364
v_stable_squared,y_24,0.42930407831858364,0.42930407831858364
lateral_motion,y_12,0.4283030516078466,0.4283030516078466
v_stable_squared,y_48,0.42760472942099387,0.42760472942099387
v_stable,y_48,0.42760472942099387,0.42760472942099387
kinetic_energy,y_72,0.41619206848806745,0.41619206848806745
kinetic_energy,event,0.41619206848806745,0.41619206848806745
persistence,event,0.41145750291076577,0.41145750291076577
persistence,y_72,0.41145750291076577,0.41145750291076577
alignment_squared,y_48,0.405767082783897,0.405767082783897
v_stable,event,0.404534027353948,0.404534027353948
v_stable,y_72,0.404534027353948,0.404534027353948
v_stable_squared,event,0.404534027353948,0.404534027353948
v_stable_squared,y_72,0.404534027353948,0.404534027353948
alignment_squared,y_24,0.40357575027997866,0.40357575027997866
lateral_motion,time_to_hit_hours,-0.39278503471673154,0.39278503471673154
alignment_squared,event,0.3829666512558268,0.3829666512558268
alignment_squared,y_72,0.3829666512558268,0.3829666512558268
growth_efficiency,y_12,0.37707434300669057,0.37707434300669057
radial_to_area_ratio,y_12,0.3767638659848654,0.3767638659848654
growth_efficiency,time_to_hit_hours,-0.35880543265838183,0.35880543265838183
radial_to_area_ratio,time_to_hit_hours,-0.3586315722480404,0.3586315722480404
lateral_motion,y_24,0.3441119173781878,0.3441119173781878
lateral_motion,y_48,0.32887038485869113,0.32887038485869113
dist_std_normalized,time_to_hit_hours,-0.3200206589200979,0.3200206589200979
lateral_motion,y_72,0.31436314377909974,0.31436314377909974
lateral_motion,event,0.31436314377909974,0.31436314377909974
dist_std_normalized,y_12,0.3085134433184111,0.3085134433184111
growth_efficiency,y_24,0.30097293894389443,0.30097293894389443
radial_to_area_ratio,y_24,0.3006872503449918,0.3006872503449918
growth_efficiency,y_48,0.2871627439340242,0.2871627439340242
radial_to_area_ratio,y_48,0.28688093554939803,0.28688093554939803
growth_efficiency,y_72,0.2740066534311852,0.2740066534311852
growth_efficiency,event,0.2740066534311852,0.2740066534311852
radial_to_area_ratio,event,0.27372833280809616,0.27372833280809616
radial_to_area_ratio,y_72,0.27372833280809616,0.27372833280809616
dist_std_normalized,y_24,0.24090367218772116,0.24090367218772116
