column,train_mean,test_mean,train_std,test_std,mean_diff_z,median_diff,q95_diff,ks_stat,ks_pvalue,psi,psi_flag
dist_min_ci_0_5h,124399.2377251987,113200.65451606092,171302.55905379832,152149.31112911162,-0.06912311958561232,-755.1099262424614,-103483.97991947521,0.08544891640866874,0.6759054872873114,0.13000856119102924,moderate
area_first_ha,619.1316406765515,891.2997954318314,1447.723668178111,2144.0752085642084,0.1487795074920066,-25.563243018152193,1928.0227262715598,0.057061205048821145,0.9705237295997318,0.10785245473148701,moderate
log1p_area_first,4.68327630194985,4.766500727529856,2.0835285757454853,2.1848433379158925,0.03898488352111721,-0.26135209215663835,0.6084488594105171,0.057061205048821145,0.9705237295997318,0.10785245473148701,moderate
event_start_dayofweek,2.841628959276018,2.5473684210526315,1.974216776315314,1.7610950477124365,-0.157300248721558,-1.0,0.0,0.10907358894974994,0.3747349782843558,0.09164106155857335,low
area_growth_rate_ha_per_h,6.167128498172315,0.7261426867626116,40.46736966852694,3.551965972706297,-0.1894179272196424,0.0,-6.766575954322359,0.04072398190045249,0.9996090806451258,0.08117865275400833,low
radial_growth_rate_m_per_h,7.770330368607901,2.3342604369693696,37.840513845785615,10.109026123889272,-0.19627890978751633,0.0,-10.344773580004965,0.04072398190045249,0.9996090806451258,0.08117865275400833,low
area_growth_rel_0_5h,0.17890867820503475,0.08493847232685699,1.3020012667786112,0.4165920950178718,-0.09721400702460281,0.0,-0.17766699655300483,0.03638961657537509,0.9999568655681225,0.08117865275400833,low
log_area_ratio_0_5h,0.06543391480858204,0.048183054434441416,0.3003211494902873,0.21458800840265305,-0.06609554005689063,0.0,-0.13413160842702182,0.03638961657537509,0.9999568655681225,0.08117865275400833,low
relative_growth_0_5h,0.17890867820503475,0.08493847232685699,1.3020012667786112,0.4165920950178718,-0.09721400702460281,0.0,-0.17766699655300483,0.03638961657537509,0.9999568655681225,0.08117865275400833,low
radial_growth_m,29.429575138204665,9.97634071892433,144.87976911991643,43.11172166899412,-0.18200169123724783,0.0,-32.580311612496445,0.03638961657537509,0.9999568655681225,0.08117865275400833,low
area_growth_abs_0_5h,26.332398171479877,3.127902868203986,187.4370176426465,15.266385383317425,-0.17450023137878232,0.0,-20.159796821500038,0.03619909502262444,0.9999613997367122,0.08117865275400833,low
event_start_hour,15.429864253393665,14.610526315789473,7.9212495845976925,8.558055477141524,-0.09936424809349975,0.0,0.0,0.06239580852583949,0.9396326875419351,0.062229709231638126,low
